ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position
247657,simple,"CONTRACTOR PRO","DEWALT DPG52 Contractor Pro Safety Glass",0,0,visible,,"The DeWALT Contractor Pro offers a lightweight design with rubber-tipped temples for a secure, comfortable fit.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/DEWALT20DPG5220Contractor20Pro20Safety20Glass.jpg,,,,,,,,,0
247660,simple,STRUCTURE,"DEWALT DPG93 Structure Safety Glass",0,0,visible,,"The DEWALT Structure Safety Glass has extra side temple coverage to protect against debris.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/DEWALT20DPG9320Structure20Safety20Glass.jpg,,,,,,,,,0
247666,simple,JOURNEY,"Crossfire Journey Man Foam Lined Safety Eyewear",0,0,visible,,"The Crossfire Journey Man is an obvious choice for demanding environments. The foam lined protection guards against airborne particles and stands up for durable performance.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Crossfire20Journey20Man20Foam20Lined20Safety20Eyewear.jpg,,,,,,,,,0
247669,simple,"JOURNEY CAMO","Radians Journey Camo Safety Eyewear",0,0,visible,,"Radians Journey safety glasses provide excellent optics and coverage. Scratch resistant coating on all protective lenses.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Radians20Journey20Camo20Safety20Eyewear.jpg,,,,,,,,,0
247677,simple,MIRAGE,"Radians Mirage Safety Eyewear",0,0,visible,,"Radians Mirage Safety Eyewear offers a sleek design which allows for a perfect fit for both men and women, ensuring worker acceptance. The Mirage family of safety eyewear is available in several styles, including rubber temples, foam lined and small sizes for all your safety glass needs.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Radians20Mirage20Safety20Eyewear.jpg,,,,,,,,,0
247680,simple,"MIRAGE SMALL","Radians Mirage Small Safety Eyewear",0,0,visible,,"The Radians Mirage Small Safety Eyewear has a 10% smaller frame than the Mirage to fit a greater range of individuals. Sleek design allows for a perfect fit to ensure worker acceptance.The Mirage is available in several protective styles including foam lined and regular sizes.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Radians20Mirage20Small20Safety20Eyewear.jpg,,,,,,,,,0
247683,simple,"MIRAGE RT","Radians Mirage RT Safety Eyewear",0,0,visible,,"Radians Mirage RT Safety Eyewear offers a sleek design which allows for a perfect fit. Rubber tipped temples keep safety glasses secure. The Mirage family of safety eyewear is available in several styles, including rubber temples, foam lined and small sizes for all your safety glass needs.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Radians20Mirage20RT20Safety20Eyewear.jpg,,,,,,,,,0
247686,simple,"MIRAGE USA","Radians Mirage USA Safety Eyewear",0,0,visible,,"Radians Mirage USA Safety Eyewear offers a sleek design which allows for a perfect fit for both men and women, ensuring worker acceptance. The Mirage family of safety eyewear is available in several styles, including rubber temples, foam lined and small sizes for all your safety glass needs.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Radians20Mirage20USA20Safety20Eyewear.jpg,,,,,,,,,0
247689,simple,PASSAGE,"Radians Passage Safety Eyewear",0,0,visible,,"Radians Passage Safety Glass has a lightweight frame with soft, rubber temple pads.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Radians20Passage20Safety20Eyewear.jpg,,,,,,,,,0
247692,simple,SERRATOR,"Radians Serrator Safety Eyewear",0,0,visible,,"The lightweight design of the Radians Serrator Safety Glass is designed for a comfortable fit with excellent protection. The soft, rubber nosepiece and lightweight, flexible temples allow for an extremely comfortable fit.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Radians20Serrator20Safety20Eyewear.jpg,,,,,,,,,0
247695,simple,OPTIMA,"Radians Optima IQ - IQUITY Anti-Fog Safety Eyewear",0,0,visible,,"IQUITY - A PREMIUM COATING THAT PERFORMS BEYOND EXPECTATION. Every once in a while, a revolutionary innovation comes along that really makes a difference in how you see things. Radians new IQuity Anti-Fog Coating is a breakthrough technology that provides one of the most superior and long-lasting anti-fog coatings in the marketplace at a competitive price. It is both EN166K and N compliant. The water-based coating lasts much longer because the anti-fog and anti-scratch properties are built into the lens for long-term wear and durability. The Radians Optima IQ Safety Glass offers a lightweight frame with dual mold temples. Adjustable rubber nose piece provides a comfortable, customized no-slip fit. Polycarbonate lens is impact resistant.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Radians20Optima20IQ20-20IQUITY20Anti-Fog20Safety20Eyewear-1.jpg,,,,,,,,,0
247698,simple,BASIN,"Radians Basin Safety Eyewear",0,0,visible,,"Radians Basin Safety Glass has a lightweight design with adjustable temples for ultimate comfort. Resists impact with a single polycarbonate lens.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Radians20Basin20Safety20Eyewear.jpg,,,,,,,,,0
247701,simple,ILLUSION,"Radians Illusion Safety Eyewear",0,0,visible,,"Radians Illusion safety glass has a wraparound single lens to provide an unobstructed field of vision.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Radians20Illusion20Safety20Eyewear.jpg,,,,,,,,,0
247704,simple,SONAR,"Radians Sonar Safety Eyewear",0,0,visible,,"Radians Sonar Safety Glass is has a sleek, lightweight wraparound lens. Non-slip rubber temples and nosepiece provide maximum comfort. This style is available Pink.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Radians20Sonar20Safety20Eyewear.jpg,,,,,,,,,0
247709,simple,BALSAMO,"Radians Balsamo Safety Eyewear",0,0,visible,,"Radians Balsamo Safety Glass has a lightweight frame and flexible temples with rubber temple pads and a soft molded rubber nosepiece for a comfortable, non-slip fit.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Radians20Balsamo20Safety20Eyewear.jpg,,,,,,,,,0
247715,simple,"FOAM LINED SAFETY EYEWEAR","Crossfire Concept Foam Lined Safety Eyewear",0,0,visible,,"The Crossfire Concept is our #1 selling foam lined safety glass. Designed specifically for sports, this glass has made an easy transition into the workplace with comfort and style as a key components.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Crossfire20Concept20Foam20Lined20Safety20Eyewear.jpg,,,,,,,,,0
247723,simple,SHIELD,"Crossfire Shield Foam Lined Safety Eyewear",0,0,visible,,"The Crossfire Shield is a multipurpose foam lined safety glass. This is a great choice for extreme environments where airborne particles interfere with the work environment.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Crossfire20Shield20Foam20Lined20Safety20Eyewear.jpg,,,,,,,,,0
247726,simple,710,"Crossfire 710 Foam Lined Safety Eyewear",0,0,visible,,"The Crossfire 710 EVA foam lined safety glass has lightweight, full frame that protects against dust and debris. The dual mold rubber temples and soft, rubber nosepiece provides a comfortable, non-slip fit. Sold separately, the ES35 strap conveniently snaps into the temple arms.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Crossfire2071020Foam20Lined20Safety20Eyewear.jpg,,,,,,,,,0
247729,simple,MK12,"Crossfire MK12 Foam Lined Safety Eyewear",0,0,visible,,"The Crossfire MK12 EVA foam lined safety glass has an outstanding fit and offers a great solution to environments where airborne debris is of concern.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Crossfire20MK1220Foam20Lined20Safety20Eyewear.jpg,,,,,,,,,0
247734,simple,CONCEPT,"Crossfire Concept Foam Lined Bifocal Safety Eyewear",0,0,visible,,"The Crossfire Concept is our #1 selling foam lined safety glass. Designed specifically for sports, this glass has made an easy transition into the workplace with comfort and style as a key components.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Crossfire20Concept20Foam20Lined20Bifocal20Safety20Eyewear.jpg,,,,,,,,,0
247738,simple,ELEMENT,"Crossfire Element Foam Lined Safety Goggle",0,0,visible,,"The Crossfire Element is our full frame safety goggle with an elastic band for a secure fit. When protection is required against flying debris, the Element offers an added level of stability.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Crossfire20Element20Foam20Lined20Safety20Goggle.jpg,,,,,,,,,0
247743,simple,CONVERTER,"DEWALT DPG83 Converter Safety Glass/Goggle Hybrid",0,0,visible,,"The DEWALT CONVERTER Safety Glass/Goggle Hybrid is all about fit and comfort with a padded nose bridge, interchangeable temples and head strap, ratcheting adjustment at the temple and a soft foam frame insert. This glass/goggle hybrid also boasts enlarged lens openings to improve sight lines and ANTI-FOG lenses.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Goggle20Hybrid.jpg,,,,,,,,,0
247746,simple,FRAMEWORK,"DEWALT DPG95 Framework Safety Glass",0,0,visible,,"The DEWALT Framework Safety Glass has Foam Shield lining to provide a comfortable, snug fit with the added dust and debris protection of a goggle.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/DEWALT20DPG9520Framework20Safety20Glass.jpg,,,,,,,,,0
247751,simple,CUATRO,"Radians Cuatro 4-in-1 Foam Lined Bi-Focal",0,0,visible,,"Radians Cuatro 4-in-1 Foam Lined Bi-Focal Safety Eyewear has interchangeable head strap and temples. Use with or without closed cell foam insert which protects against airborne dust and debris. Magnification diopter is molded into lens.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Radians20Cuatro204-in-120Foam20Lined20Bi-Focal.jpg,,,,,,,,,0
247754,simple,EXTREMIS,"Radians Extremis Safety Eyewear",0,0,visible,,"Radians Extremis Safety Glass is sleek, modern and stylish, yet integrates the compliance and comfort elements end users demand from a safety glass.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Radians20Extremis20Safety20Eyewear.jpg,,,,,,,,,0
247758,simple,"MIRAGE FOAM","Radians Mirage Foam Small Safety Eyewear",0,0,visible,,"Radians Mirage Foam Safety Eyewear is a foam lined safety glass designed to block debris, airborne particles and eye irritants. Sleek, light, comfortable eye protection that uses foam lined vents to filter air for maximum protection. Available in regular and small sizes.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Radians20Mirage20Foam20Small20Safety20Eyewear.jpg,,,,,,,,,0
247762,simple,DAGGER,"Radians Dagger IQ - IQUITY Anti-Fog Safety Goggle Replacement Lens",0,0,visible,,"Radians new IQuity Anti-Fog Coating is a breakthrough technology that provides one of the most superior and long-lasting anti-fog coatings in the marketplace at a competitive price. It is both EN166K and N compliant. The water-based coating lasts much longer because the anti-fog and anti-scratch properties are built into the lens for long-term wear and durability.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Radians20Dagger20IQ20-20IQUITY20Anti-Fog20Safety20Goggle20Replacement20Lens-1.jpg,,,,,,,,,0
247767,simple,"BIFOCAL SAFETY EYEWEAR","Crossfire Concept Foam Lined Bifocal Safety Eyewear",0,0,visible,,"The Crossfire Concept is our #1 selling foam lined safety glass. Designed specifically for sports, this glass has made an easy transition into the workplace with comfort and style as a key components.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Crossfire20Concept20Foam20Lined20Bifocal20Safety20Eyewear-1.jpg,,,,,,,,,0
247772,simple,ES7,"Crossfire ES7 InViz Bifocal Safety Glass",0,0,visible,,"The Crossfire ES7 InViz Bifocal Safety Glass is designed to magnify close-up work without the hard lines found in most safety bifocals. The minimalistic ventilated frame provides substantial coverage with a premium crystal finish.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Crossfire20ES720InViz20Bifocal20Safety20Glass.jpg,,,,,,,,,0
247775,simple,"ES4 BIFOCAL","Crossfire ES4 Bifocal Safety Eyewear",0,0,visible,,"The Crossfire ES4 Bifocal Safety Glass is designed for all environments, the ES4 features an adjustable nosepiece, ultralight frame, and 100% visually correct lenses. Lateral protection compliance H for medium to small faces.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Crossfire20ES420Bifocal20Safety20Eyewear-1.jpg,,,,,,,,,0
247778,simple,"SNIPER BIFOCAL","Crossfire Sniper Bifocal Safety Eyewear",0,0,visible,,"Count on the Crossfire Sniper to perform on the job. Designed with the sportsman in mind, this style transitions easily from work environments to recreation! Lateral protection compliance H for medium to small faces.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Crossfire20Sniper20Bifocal20Safety20Eyewear-1.jpg,,,,,,,,,0
247782,simple,"TALON BIFOCAL","Crossfire Talon Bifocal Safety Eyewear",0,0,visible,,"The sporty and lightweight design of the Crossfire Talon Bifocal Safety Glass was created for a great fit and ease of use in diverse environments. This style features bifocals in clear and smoke lenses.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Crossfire20Talon20Bifocal20Safety20Eyewear-1.jpg,,,,,,,,,0
247789,simple,"REINFORCER RX","DEWALT DPG59 Reinforcer RX Safety Glass",0,0,visible,,"The DEWALT Reinforcer Rx Safety Glass combines safety glasses with a reading glass. Magnification diopter molded directly into safety lens.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/DEWALT20DPG5920Reinforcer20RX20Safety20Glass-1.jpg,,,,,,,,,0
247799,simple,CHEATERS,"Radians Cheaters Bi-Focal Eyewear",0,0,visible,,"Radians Cheaters Bi-Focal safety glass combines protective safety glasses with reading glasses. Adjustable vision protection for all day comfort.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Radians20Cheaters20Bi-Focal20Eyewear.jpg,,,,,,,,,0
247806,simple,CONCEALER,"DEWALT DPG82 Concealer Safety Goggle",0,0,visible,,"The DEWALT Concealer safety goggle is a dual mold goggle that provides protection from dust and debris.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/DEWALT20DPG8220Concealer20Safety20Goggle.jpg,,,,,,,,,0
247809,simple,DPG84,"DEWALT DPG84 Insulator Replacement Lens",0,0,visible,,"The DEWALT DPG84 Insulator Protective Eyewear replacement lens is perfect when replacing a scratched or damaged lens when working in construction, manufacturing, and lawn &amp; garden workers. The low-profile goggle features a premium anti-fog and anti-scratch coating to help workers see clearly.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/DEWALT20DPG8420Insulator20Replacement20Lens.jpg,,,,,,,,,0
247815,simple,CHEMICAL,"Radians Chemical Splash Safety Goggle",0,0,visible,,"Radians Chemical Splash Safety Goggle is an indirect vent goggle which provides protection against chemical splashes. Fits over most prescription eyewear for complete protection.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Radians20Chemical20Splash20Safety20Goggle.jpg,,,,,,,,,0
247818,simple,PERFORATED,"Radians Perforated Safety Goggle",0,0,visible,,"Radians Perforated safety goggle provides excellent ventilation and protects against dust and flying debris. Protective goggle fits over most prescription glasses for complete coverage and protection.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Radians20Perforated20Safety20Goggle.jpg,,,,,,,,,0
247821,simple,BARRICADE,"Radians Barricade Safety Goggle",0,0,visible,,"Radians Barricade Safety Goggle is a lightweight, compact goggle that provides excellent protection against dirt and debris with the comfort of protective glasses.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Radians20Barricade20Safety20Goggle.jpg,,,,,,,,,0
247826,simple,CLOAK,"Radians Cloak Dual Mold Goggle Replacement Lens",0,0,visible,,"Radians Cloak Dual Mold Protective Goggle provides higher impact, dust and chemical splash protection than safety glasses. Safety goggles should be used when there is more than occasional particle hazards.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Radians20Cloak20Dual20Mold20Goggle20Replacement20Lens.jpg,,,,,,,,,0
247834,simple,OG3,"Crossfire OG3 Over the Glass Safety Eyewear",0,0,visible,,"Crossfire offers full coverage over-the-glass eyewear so your workers can remain safe while wearing their personal prescription eyewear. The Crossfire OG3 is a great selection for over the glass safety eyewear, extremely comfortable and provides an outstanding option to costly prescriptions.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Crossfire20OG320Over20the20Glass20Safety20Eyewear.jpg,,,,,,,,,0
247837,simple,"WIRE MESH","Crossfire Wire Mesh Over the Glass Safety Eyewear",0,0,visible,,"The Crossfire Wire Mesh Over-the-Glass Safety Eyewear is black wire mesh front eye protection designed for extremely humid environments, provides excellent visibility combined with exceptional ventilation characteristics. Available with standard temples and elastic strap.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Crossfire20Wire20Mesh20Over20the20Glass20Safety20Eyewear.jpg,,,,,,,,,0
247842,simple,SHEATH,"Radians Sheath OTG Safety Eyewear",0,0,visible,,"The Radians Sheath safety glass is designed to fit Over the Glass (OTG). Close fitting design with adjustable temples. One piece lens design for safety and comfort.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Radians20Sheath20OTG20Safety20Eyewear.jpg,,,,,,,,,0
247845,simple,CHIEF,"Radians Chief OTG Safety Eyewear",0,0,visible,,"The Radians Chief is designed to fit Over the Glass (OTG). Close fitting design with integrally molded brow guard and deep sideshields provides all around protection.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Radians20Chief20OTG20Safety20Eyewear.jpg,,,,,,,,,0
247848,simple,G4,"Radians G4 Junior Safety Eyewear",0,0,visible,,"The Radians G4 safety glasses have a one piece lens design that offers integral side shields and extended brow guard protection for maximum safety. Available in regular and junior safety glass sizes.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Radians20G420Junior20Safety20Eyewear.jpg,,,,,,,,,0
247852,simple,GALAXY,"Radians Galaxy Safety Eyewear",0,0,visible,,"The Radians Galaxy safety glasses have a one piece lens design that offers integral side shields and adjustable temples for maximum safety and comfort.",,,taxable,,1,,,0,0,0.1,,,,1,,,,"Radians Eye Wear, Radians",,,https://www.equipdirect.com/wp-content/uploads/2021/08/Radians20Galaxy20Safety20Eyewear.jpg,,,,,,,,,0
